method,recipe_name,edge_violated,violation_effect_v,normalized_effect_v,exceeds_noise_v,correct_direction_v,violation_effect_u,normalized_effect_u,exceeds_noise_u,correct_direction_u
ares,spicytunaavocadowraps,6->13,0.09830508381128311,0.29896906631040476,False,True,-0.04745763540267944,0.09790211939871266,False,False
ares,spicytunaavocadowraps,7->14,0.0,0.0,False,False,0.050847455859184265,0.29411764705882354,False,True
ares,spicytunaavocadowraps,13->18,0.10847458243370056,0.4637681288682617,False,True,-0.047457627952098846,0.1443298979876061,False,False
ares,tomatochutney,16->1,0.013333320617675781,0.01687762057660928,False,True,0.01666666939854622,0.025380714043558943,False,True
ares,tomatochutney,7->2,0.01000000536441803,0.011764712791542219,False,True,0.0,0.0,False,False
ares,tomatochutney,15->5,0.009999999776482582,0.09677419296691618,False,True,-0.023333332501351833,0.24999999002154388,False,False
ares,tomatochutney,4->6,0.0,,False,False,0.0,,False,False
ares,tomatochutney,19->8,-0.08666666597127914,1.5294117028325507,True,False,0.0,0.0,False,False
ares,tomatochutney,10->9,0.0,0.0,False,False,0.0,0.0,False,False
ares,tomatochutney,13->10,0.0,0.0,False,False,-0.030000001192092896,0.21428572188834752,False,False
ares,tomatochutney,17->12,0.23066669702529907,2.096969700253699,True,True,0.5233333706855774,2.803571616736601,True,True
ares,tomatochutney,14->13,-0.0066666677594184875,0.04761905522168085,False,False,0.0,0.0,False,False
ares,tomatochutney,3->14,-0.006666666828095913,0.25,False,False,-0.08666667342185974,0.12440191182878234,False,False
ares,tomatochutney,6->15,0.006666666828095913,0.07142857285406516,False,True,0.0,,False,False
ares,tomatochutney,2->16,0.046666666865348816,0.07106598797590356,False,True,-0.0033333227038383484,0.003921556321531768,False,False
ares,tomatochutney,11->17,0.016666710376739502,0.0892859480666861,False,True,0.3766666501760483,0.9262294685510626,False,True
ares,tomatochutney,5->18,0.04999999701976776,0.17857141716747874,False,True,-0.0066666677594184875,0.06451614066167646,False,False
ares,tomatochutney,9->19,0.0,0.0,False,False,0.0,0.0,False,False
ares,tomatochutney,18->20,0.026666663587093353,0.11111110076308227,False,True,0.04999999701976776,0.17857141716747874,False,True
ares,tomatomozzarellasalad,4->1,0.033962249755859375,0.4736842980345733,False,True,0.8415094465017319,12.38887258179725,True,True
ares,tomatomozzarellasalad,1->2,0.16981136798858643,1.8749992595990514,True,True,0.7622641921043396,10.63158599178315,True,True
ares,tomatomozzarellasalad,6->3,0.0,,False,False,-0.1169811338186264,0.12301586337765906,False,False
ares,tomatomozzarellasalad,7->4,0.7509434074163437,11.055541003487232,True,True,0.026415109634399414,0.4666658242563623,False,True
ares,tomatomozzarellasalad,2->9,0.8226415067911148,1.0380952192913921,True,True,-0.04150950908660889,0.45833385435622304,False,False
ares,tomatomozzarellasalad,3->10,0.0,,False,False,0.0,,False,False
ares,zoodles,7->1,-0.05319149047136307,0.08928571562567839,False,False,0.09929077327251434,0.12785387908815096,False,True
ares,zoodles,11->3,-0.03900706768035889,0.09090906565211762,False,False,0.7446809187531471,4.7727270600163045,True,True
ares,zoodles,6->4,0.028368793427944183,0.05839416091977151,False,True,-0.0035461001098155975,0.005681819470564653,False,False
ares,zoodles,9->5,-0.5035461485385895,3.1555562403467783,True,False,0.01773049682378769,0.35714288930199806,False,True
