dataset,method,recipe_name,ordering_index,node_id,position,score
captaincookrecipes,sager,broccolistirfry,3,20,10,0.504792332649231
captaincookrecipes,sager,broccolistirfry,3,6,11,0.16293931007385254
captaincookrecipes,sager,broccolistirfry,3,14,12,0.4824281334877014
captaincookrecipes,sager,broccolistirfry,3,19,13,0.0
captaincookrecipes,sager,broccolistirfry,3,11,14,0.5686901211738586
captaincookrecipes,sager,broccolistirfry,3,2,15,0.5846645832061768
captaincookrecipes,sager,broccolistirfry,3,17,16,0.0
captaincookrecipes,sager,broccolistirfry,3,9,17,0.022364217787981033
captaincookrecipes,sager,broccolistirfry,3,16,18,0.35143765807151794
captaincookrecipes,sager,broccolistirfry,3,4,19,0.00319488812237978
captaincookrecipes,sager,broccolistirfry,3,12,20,0.0
captaincookrecipes,sager,broccolistirfry,3,25,21,0.9009584188461304
captaincookrecipes,sager,broccolistirfry,3,23,22,0.0
captaincookrecipes,sager,broccolistirfry,3,7,23,0.6261980533599854
captaincookrecipes,sager,broccolistirfry,3,15,24,0.6230031847953796
captaincookrecipes,sager,broccolistirfry,3,26,25,0.09265175461769104
captaincookrecipes,sager,broccolistirfry,4,21,0,0.028753992170095444
captaincookrecipes,sager,broccolistirfry,4,20,1,0.4057508111000061
captaincookrecipes,sager,broccolistirfry,4,3,2,0.019169330596923828
captaincookrecipes,sager,broccolistirfry,4,22,3,0.03833865374326706
captaincookrecipes,sager,broccolistirfry,4,8,4,0.0
captaincookrecipes,sager,broccolistirfry,4,19,5,0.0
captaincookrecipes,sager,broccolistirfry,4,1,6,0.4472843408584595
captaincookrecipes,sager,broccolistirfry,4,13,7,0.5111821293830872
captaincookrecipes,sager,broccolistirfry,4,18,8,0.0
captaincookrecipes,sager,broccolistirfry,4,10,9,0.7028754353523254
captaincookrecipes,sager,broccolistirfry,4,5,10,0.0
captaincookrecipes,sager,broccolistirfry,4,14,11,0.35782748460769653
captaincookrecipes,sager,broccolistirfry,4,6,12,0.07348242402076721
captaincookrecipes,sager,broccolistirfry,4,11,13,0.5974440574645996
captaincookrecipes,sager,broccolistirfry,4,2,14,0.6581469774246216
captaincookrecipes,sager,broccolistirfry,4,24,15,0.0
captaincookrecipes,sager,broccolistirfry,4,17,16,0.14696486294269562
captaincookrecipes,sager,broccolistirfry,4,16,17,0.49201276898384094
captaincookrecipes,sager,broccolistirfry,4,9,18,0.09265176206827164
captaincookrecipes,sager,broccolistirfry,4,4,19,0.02555910497903824
captaincookrecipes,sager,broccolistirfry,4,12,20,0.0
captaincookrecipes,sager,broccolistirfry,4,25,21,0.7923322916030884
captaincookrecipes,sager,broccolistirfry,4,23,22,0.0
captaincookrecipes,sager,broccolistirfry,4,7,23,0.805111825466156
